NORM,COLUMNS,VAR,RMSE,AREA,MODEL,HYPERTUNE
normalized,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I']",rsntds,-75.54647922515869,"(250, 200)",LSTM,"50,32,0.1,1,1"
k_scaled,['A'],no3,0.5769975483417511,"(250, 200)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B']",po4,0.5817044526338577,"(250, 200)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C']",si,0.6042136810719967,"(250, 200)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D']",thetao,0.6582310423254967,"(250, 200)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D', 'E']",mlotst,0.6079999729990959,"(250, 200)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D', 'E', 'F']",dfe,0.6359885912388563,"(250, 200)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D', 'E', 'F', 'G']",zmicroos,0.5600025877356529,"(250, 200)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']",zmesoos,0.6472819950431585,"(250, 200)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I']",rsntds,0.6141921505331993,"(250, 200)",LSTM,"50,32,0.1,1,1"
normalized,['A'],no3,-529.9990177154541,"(100, 200)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B']",po4,-523.1159210205078,"(100, 200)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C']",si,-499.40428733825684,"(100, 200)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D']",thetao,-574.7293949127197,"(100, 200)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D', 'E']",mlotst,-491.7301654815674,"(100, 200)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D', 'E', 'F']",dfe,-565.0012016296387,"(100, 200)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D', 'E', 'F', 'G']",zmicroos,-468.6426639556885,"(100, 200)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']",zmesoos,-473.0389595031738,"(100, 200)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I']",rsntds,-590.6956195831299,"(100, 200)",LSTM,"50,32,0.1,1,1"
k_scaled,['A'],no3,0.4855216480791569,"(100, 200)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B']",po4,0.5197626538574696,"(100, 200)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C']",si,0.4941444844007492,"(100, 200)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D']",thetao,0.5135230720043182,"(100, 200)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D', 'E']",mlotst,0.48694065771996975,"(100, 200)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D', 'E', 'F']",dfe,0.5287495907396078,"(100, 200)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D', 'E', 'F', 'G']",zmicroos,0.44943783432245255,"(100, 200)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']",zmesoos,0.45022708363831043,"(100, 200)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I']",rsntds,0.4238249734044075,"(100, 200)",LSTM,"50,32,0.1,1,1"
normalized,['A'],no3,1340.0240898132324,"(210, 250)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B']",po4,1244.9196815490723,"(210, 250)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C']",si,1096.8998908996582,"(210, 250)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D']",thetao,975.2217292785645,"(210, 250)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D', 'E']",mlotst,1269.4914817810059,"(210, 250)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D', 'E', 'F']",dfe,1001.813793182373,"(210, 250)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D', 'E', 'F', 'G']",zmicroos,1080.8079719543457,"(210, 250)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']",zmesoos,1319.682502746582,"(210, 250)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I']",rsntds,776.7206192016602,"(210, 250)",LSTM,"50,32,0.1,1,1"
k_scaled,['A'],no3,2.636779099702835,"(210, 250)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B']",po4,3.0543580651283264,"(210, 250)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C']",si,2.6052210479974747,"(210, 250)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D']",thetao,2.450007200241089,"(210, 250)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D', 'E']",mlotst,2.680070698261261,"(210, 250)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D', 'E', 'F']",dfe,2.066136710345745,"(210, 250)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D', 'E', 'F', 'G']",zmicroos,2.4334952235221863,"(210, 250)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']",zmesoos,2.2800570353865623,"(210, 250)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I']",rsntds,2.9966624453663826,"(210, 250)",LSTM,"50,32,0.1,1,1"
normalized,['A'],no3,496.06080055236816,"(350, 150)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B']",po4,494.5443630218506,"(350, 150)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C']",si,498.2916831970215,"(350, 150)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D']",thetao,476.27882957458496,"(350, 150)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D', 'E']",mlotst,500.69637298583984,"(350, 150)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D', 'E', 'F']",dfe,458.09412002563477,"(350, 150)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D', 'E', 'F', 'G']",zmicroos,427.47154235839844,"(350, 150)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']",zmesoos,483.1883907318115,"(350, 150)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I']",rsntds,506.0376167297363,"(350, 150)",LSTM,"50,32,0.1,1,1"
k_scaled,['A'],no3,0.6237951572984457,"(350, 150)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B']",po4,0.5853079259395599,"(350, 150)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C']",si,0.5680878646671772,"(350, 150)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D']",thetao,0.5849876441061497,"(350, 150)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D', 'E']",mlotst,0.5685705691576004,"(350, 150)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D', 'E', 'F']",dfe,0.6111497059464455,"(350, 150)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D', 'E', 'F', 'G']",zmicroos,0.5356404930353165,"(350, 150)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']",zmesoos,0.5309286061674356,"(350, 150)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I']",rsntds,0.5014673806726933,"(350, 150)",LSTM,"50,32,0.1,1,1"
normalized,['A'],no3,-877.3913383483887,"(50, 70)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B']",po4,-816.4541244506836,"(50, 70)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C']",si,-955.7442665100098,"(50, 70)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D']",thetao,-899.8879432678223,"(50, 70)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D', 'E']",mlotst,-858.4110260009766,"(50, 70)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D', 'E', 'F']",dfe,-823.7197875976562,"(50, 70)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D', 'E', 'F', 'G']",zmicroos,-985.9058380126953,"(50, 70)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']",zmesoos,-735.8886241912842,"(50, 70)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I']",rsntds,-886.5686416625977,"(50, 70)",LSTM,"50,32,0.1,1,1"
k_scaled,['A'],no3,0.8314482867717743,"(50, 70)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B']",po4,0.7893760688602924,"(50, 70)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C']",si,0.8253126405179501,"(50, 70)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D']",thetao,0.8419567719101906,"(50, 70)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D', 'E']",mlotst,0.8728197775781155,"(50, 70)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D', 'E', 'F']",dfe,0.800327118486166,"(50, 70)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D', 'E', 'F', 'G']",zmicroos,0.8043654263019562,"(50, 70)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']",zmesoos,0.8533907122910023,"(50, 70)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I']",rsntds,0.8577153086662292,"(50, 70)",LSTM,"50,32,0.1,1,1"
normalized,['A'],no3,-292.67094135284424,"(150, 100)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B']",po4,-309.1226100921631,"(150, 100)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C']",si,-267.3205852508545,"(150, 100)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D']",thetao,-283.54547023773193,"(150, 100)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D', 'E']",mlotst,-303.2695531845093,"(150, 100)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D', 'E', 'F']",dfe,-394.63679790496826,"(150, 100)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D', 'E', 'F', 'G']",zmicroos,-453.78713607788086,"(150, 100)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']",zmesoos,-385.8320474624634,"(150, 100)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I']",rsntds,-421.03891372680664,"(150, 100)",LSTM,"50,32,0.1,1,1"
k_scaled,['A'],no3,0.6694711744785309,"(150, 100)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B']",po4,0.7243851199746132,"(150, 100)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C']",si,0.610431982204318,"(150, 100)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D']",thetao,0.6821682211011648,"(150, 100)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D', 'E']",mlotst,0.7184207905083895,"(150, 100)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D', 'E', 'F']",dfe,0.614969152957201,"(150, 100)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D', 'E', 'F', 'G']",zmicroos,0.5943439435213804,"(150, 100)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']",zmesoos,0.5609550978988409,"(150, 100)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I']",rsntds,0.6191519554704428,"(150, 100)",LSTM,"50,32,0.1,1,1"
normalized,['A'],no3,-2379.073905944824,"(350, 100)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B']",po4,-2417.9061889648438,"(350, 100)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C']",si,-3094.6203231811523,"(350, 100)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D']",thetao,-2714.2053604125977,"(350, 100)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D', 'E']",mlotst,-2572.2780227661133,"(350, 100)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D', 'E', 'F']",dfe,-2919.149971008301,"(350, 100)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D', 'E', 'F', 'G']",zmicroos,-3185.8163833618164,"(350, 100)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']",zmesoos,-2616.0646438598633,"(350, 100)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I']",rsntds,-2394.7458267211914,"(350, 100)",LSTM,"50,32,0.1,1,1"
k_scaled,['A'],no3,0.6998066790401936,"(350, 100)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B']",po4,0.6786851212382317,"(350, 100)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C']",si,0.6351016461849213,"(350, 100)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D']",thetao,0.6848185788840055,"(350, 100)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D', 'E']",mlotst,0.6668888963758945,"(350, 100)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D', 'E', 'F']",dfe,0.7404598407447338,"(350, 100)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D', 'E', 'F', 'G']",zmicroos,0.6780989933758974,"(350, 100)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']",zmesoos,0.5864678416401148,"(350, 100)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I']",rsntds,0.5746078677475452,"(350, 100)",LSTM,"50,32,0.1,1,1"
